Reaction: [#6:1]-[#6:2](=[O:3])-[#7:4](-,:[*:5])-,:[*:6]>>[#6:1]-[#6:2](=[O:3])-[#8]-,:[#1].[#7:4](-,:[*:5])-,:[*:6]
Product: [CH3:1][C:2](=[O:3])[N:4]([*:5])[*:6]
Core: [CH3:2][NH2:4]
ERROR: Failed to process decomposition of [H]c1c([H])c([H])[c:1]([C:2](=[O:3])[N:4]([c:5]2c([H])c([H])c([H])c(Cl)c2C([H])([H])N(C([H])([H])[H])[C:1]([H])([H])[C:2](=[O:3])[N+:4]2([H])[C:5]([H])([H])C([H])([H])OC([H])([H])[C:6]2([H])[H])[H:6])c([H])c1[H]
Index size 455
250	1	1 (1)	1 (1)	1 1
251	1	1 (1)	1 (1)	1 1
252	1	1 (1)	1 (1)	1 1
253	1	1 (1)	1 (1)	1 1
254	4	2 (4)	2 (4)	4 16
255	6	1 (2)	2 (6)	2 12
256	2	1 (2)	2 (2)	2 4
257	9	3 (4)	4 (9)	12 36
258	3	2 (2)	3 (3)	6 6
259	1	1 (1)	1 (1)	1 1
260	3	1 (2)	2 (3)	2 6
261	5	2 (5)	2 (5)	4 25
262	2	2 (2)	2 (2)	4 4
263	6	2 (4)	2 (6)	4 24
264	3	3 (3)	3 (3)	9 9
265	2	2 (2)	2 (2)	4 4
266	26	6 (21)	6 (25)	36 525
267	6	4 (6)	4 (6)	16 36
268	4	2 (4)	1 (4)	2 16
269	4	2 (4)	1 (3)	2 12
270	2	2 (2)	1 (2)	2 4
271	3	3 (3)	1 (3)	3 9
272	2	2 (2)	1 (2)	2 4
273	4	3 (4)	1 (4)	3 16
274	1	1 (1)	1 (1)	1 1
275	2	2 (2)	1 (2)	2 4
276	1	1 (1)	1 (1)	1 1
277	2	2 (2)	1 (2)	2 4
278	2	2 (2)	2 (2)	4 4
279	5	4 (5)	1 (4)	4 20
280	1	1 (1)	1 (1)	1 1
281	4	2 (4)	1 (4)	2 16
282	3	3 (3)	3 (3)	9 9
283	3	3 (3)	2 (3)	6 9
284	1	1 (1)	1 (1)	1 1
285	2	1 (2)	1 (2)	1 4
286	2	2 (2)	1 (2)	2 4
287	9	1 (9)	1 (9)	1 81
288	6	1 (1)	1 (6)	1 6
289	7	1 (7)	1 (5)	1 35
290	3	1 (3)	1 (1)	1 3
291	1	1 (1)	1 (1)	1 1
292	6	4 (5)	5 (6)	20 30
293	5	2 (5)	2 (4)	4 20
294	4	1 (4)	1 (3)	1 12
295	8	1 (4)	1 (4)	1 16
296	6	1 (3)	1 (3)	1 9
297	40	5 (32)	3 (38)	15 1216
298	2	1 (2)	2 (2)	2 4
299	4	1 (2)	2 (4)	2 8
300	5	2 (3)	3 (5)	6 15
301	3	2 (2)	2 (3)	4 6
302	3	1 (2)	1 (3)	1 6
303	4	1 (4)	1 (4)	1 16
304	1	1 (1)	1 (1)	1 1
305	1	1 (1)	1 (1)	1 1
306	1	1 (1)	1 (1)	1 1
307	1	1 (1)	1 (1)	1 1
308	2	1 (2)	1 (2)	1 4
309	1	1 (1)	1 (1)	1 1
310	1	1 (1)	1 (1)	1 1
311	1	1 (1)	1 (1)	1 1
312	2	1 (2)	1 (2)	1 4
313	5	1 (2)	1 (5)	1 10
314	1	1 (1)	1 (1)	1 1
315	10	1 (5)	1 (10)	1 50
316	3	1 (3)	1 (1)	1 3
317	2	1 (2)	1 (1)	1 2
318	1	1 (1)	1 (1)	1 1
319	2	1 (2)	1 (1)	1 2
320	2	1 (2)	1 (2)	1 4
321	1	1 (1)	1 (1)	1 1
322	3	2 (3)	2 (3)	4 9
323	1	1 (1)	1 (1)	1 1
324	2	1 (1)	1 (2)	1 2
325	3	1 (1)	2 (3)	2 3
326	18	2 (3)	2 (4)	4 12
327	50	2 (7)	2 (8)	4 56
328	9	2 (2)	2 (2)	4 4
329	8	1 (1)	1 (1)	1 1
330	18	4 (17)	4 (16)	16 272
331	12	3 (10)	3 (12)	9 120
332	8	2 (7)	2 (8)	4 56
333	1	1 (1)	1 (1)	1 1
334	4	1 (4)	1 (4)	1 16
335	2	1 (2)	1 (2)	1 4
336	1	1 (1)	1 (1)	1 1
337	2	1 (2)	1 (1)	1 2
338	1	1 (1)	1 (1)	1 1
339	1	1 (1)	1 (1)	1 1
340	1	1 (1)	1 (1)	1 1
341	1	1 (1)	1 (1)	1 1
342	2	1 (2)	1 (2)	1 4
343	1	1 (1)	1 (1)	1 1
344	1	1 (1)	1 (1)	1 1
345	1	1 (1)	1 (1)	1 1
346	1	1 (1)	1 (1)	1 1
347	1	1 (1)	1 (1)	1 1
348	1	1 (1)	1 (1)	1 1
349	1	1 (1)	1 (1)	1 1
350	6	1 (6)	1 (6)	1 36
351	3	1 (3)	1 (3)	1 9
352	1	1 (1)	1 (1)	1 1
353	1	1 (1)	1 (1)	1 1
354	1	1 (1)	1 (1)	1 1
355	1	1 (1)	1 (1)	1 1
356	1	1 (1)	1 (1)	1 1
357	1	1 (1)	1 (1)	1 1
358	1	1 (1)	1 (1)	1 1
359	4	2 (4)	1 (4)	2 16
360	2	1 (2)	1 (2)	1 4
361	2	1 (2)	1 (2)	1 4
362	1	1 (1)	1 (1)	1 1
